Record,Date,UTC Time,Akcelerometr1,Akcelerometr2,Czujnik_temp1,Czujnik_temp2
         1, 8/03/2016,10:11:21,   5.500000E-01,   6.200000E-01,   0.000000E+00,   0.000000E+00
         2, 8/03/2016,10:11:22,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
         3, 8/03/2016,10:11:23,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
         4, 8/03/2016,10:11:24,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
         5, 8/03/2016,10:11:25,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
         6, 8/03/2016,10:11:26,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
         7, 8/03/2016,10:11:27,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
         8, 8/03/2016,10:11:28,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
         9, 8/03/2016,10:11:29,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        10, 8/03/2016,10:11:30,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        11, 8/03/2016,10:11:31,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        12, 8/03/2016,10:11:32,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        13, 8/03/2016,10:11:33,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        14, 8/03/2016,10:11:34,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        15, 8/03/2016,10:11:35,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        16, 8/03/2016,10:11:36,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        17, 8/03/2016,10:11:37,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        18, 8/03/2016,10:11:38,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
        19, 8/03/2016,10:11:39,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        20, 8/03/2016,10:11:40,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        21, 8/03/2016,10:11:41,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
        22, 8/03/2016,10:11:42,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
        23, 8/03/2016,10:11:43,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
        24, 8/03/2016,10:11:44,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
        25, 8/03/2016,10:11:45,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        26, 8/03/2016,10:11:46,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
        27, 8/03/2016,10:11:47,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
        28, 8/03/2016,10:11:48,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
