Record,Date,UTC Time,Akcelerometr1,Akcelerometr2,Czujnik_temp1,Czujnik_temp2
        15, 8/01/2016, 8:17:55,   8.100000E-01,   8.800000E-01,   0.000000E+00,   0.000000E+00
        14, 8/01/2016, 8:17:53,   8.100000E-01,   8.400000E-01,   0.000000E+00,   0.000000E+00
        13, 8/01/2016, 8:17:51,   8.100000E-01,   8.600000E-01,   0.000000E+00,   0.000000E+00
        12, 8/01/2016, 8:17:49,   8.200000E-01,   9.400000E-01,   0.000000E+00,   0.000000E+00
        11, 8/01/2016, 8:17:47,   8.100000E-01,   8.400000E-01,   0.000000E+00,   0.000000E+00
        10, 8/01/2016, 8:17:45,   8.100000E-01,   8.400000E-01,   0.000000E+00,   0.000000E+00
         9, 8/01/2016, 8:17:43,   8.100000E-01,   8.400000E-01,   0.000000E+00,   0.000000E+00
         8, 8/01/2016, 8:17:41,   8.200000E-01,   8.600000E-01,   0.000000E+00,   0.000000E+00
         7, 8/01/2016, 8:17:39,   8.100000E-01,   8.400000E-01,   0.000000E+00,   0.000000E+00
         6, 8/01/2016, 8:17:37,   8.100000E-01,   8.500000E-01,   0.000000E+00,   0.000000E+00
         5, 8/01/2016, 8:17:35,   8.100000E-01,   8.400000E-01,   0.000000E+00,   0.000000E+00
         4, 8/01/2016, 8:17:33,   8.100000E-01,   8.400000E-01,   0.000000E+00,   0.000000E+00
         3, 8/01/2016, 8:17:31,   8.200000E-01,   8.500000E-01,   0.000000E+00,   0.000000E+00
         2, 8/01/2016, 8:17:29,   8.100000E-01,   8.400000E-01,   0.000000E+00,   0.000000E+00
         1, 8/01/2016, 8:17:27,   8.200000E-01,   8.600000E-01,   0.000000E+00,   0.000000E+00
